🕘️更新时间,#genre#
2026-05-31 06:55:56,https://raw.githubusercontent.com/ssili126/tv/main/itvlist.m3u

📺央视频道,#genre#
CCTV-1,https://raw.githubusercontent.com/ssili126/tv/main/itvlist.m3u
CCTV-1,https://raw.githubusercontent.com/Guovin/TV/gd/output/result.txt
CCTV-1,https://live.zbds.top/tv/iptv6.m3u
CCTV-1,https://raw.githubusercontent.com/Melianservant/Custom-IPTV/main/Selected_Channels.m3u
CCTV-2,https://raw.githubusercontent.com/ssili126/tv/main/itvlist.m3u
CCTV-2,https://raw.githubusercontent.com/Guovin/TV/gd/output/result.txt
CCTV-2,https://live.zbds.top/tv/iptv6.m3u
CCTV-2,https://raw.githubusercontent.com/Melianservant/Custom-IPTV/main/Selected_Channels.m3u
CCTV-3,https://raw.githubusercontent.com/ssili126/tv/main/itvlist.m3u
CCTV-3,https://raw.githubusercontent.com/Guovin/TV/gd/output/result.txt
CCTV-3,https://live.zbds.top/tv/iptv6.m3u
CCTV-3,https://raw.githubusercontent.com/Melianservant/Custom-IPTV/main/Selected_Channels.m3u
CCTV-4,https://raw.githubusercontent.com/ssili126/tv/main/itvlist.m3u
CCTV-4,https://raw.githubusercontent.com/Guovin/TV/gd/output/result.txt
CCTV-4,https://live.zbds.top/tv/iptv6.m3u
CCTV-4,https://raw.githubusercontent.com/Melianservant/Custom-IPTV/main/Selected_Channels.m3u
CCTV-5,https://raw.githubusercontent.com/ssili126/tv/main/itvlist.m3u
CCTV-5,https://raw.githubusercontent.com/Guovin/TV/gd/output/result.txt
CCTV-5,https://live.zbds.top/tv/iptv6.m3u
CCTV-5,https://raw.githubusercontent.com/Melianservant/Custom-IPTV/main/Selected_Channels.m3u
CCTV-5+,https://raw.githubusercontent.com/ssili126/tv/main/itvlist.m3u
CCTV-5+,https://raw.githubusercontent.com/Guovin/TV/gd/output/result.txt
CCTV-5+,https://live.zbds.top/tv/iptv6.m3u
CCTV-5+,https://raw.githubusercontent.com/Melianservant/Custom-IPTV/main/Selected_Channels.m3u
CCTV-6,https://raw.githubusercontent.com/ssili126/tv/main/itvlist.m3u
CCTV-6,https://raw.githubusercontent.com/Guovin/TV/gd/output/result.txt
CCTV-6,https://live.zbds.top/tv/iptv6.m3u
CCTV-6,https://raw.githubusercontent.com/Melianservant/Custom-IPTV/main/Selected_Channels.m3u
CCTV-7,https://raw.githubusercontent.com/ssili126/tv/main/itvlist.m3u
CCTV-7,https://raw.githubusercontent.com/Guovin/TV/gd/output/result.txt
CCTV-7,https://live.zbds.top/tv/iptv6.m3u
CCTV-7,https://raw.githubusercontent.com/Melianservant/Custom-IPTV/main/Selected_Channels.m3u
