🕘️更新时间,#genre#
2026-05-30 07:10:19,https://raw.githubusercontent.com/ssili126/tv/main/itvlist.m3u

📺央视频道,#genre#
CCTV-1,https://raw.githubusercontent.com/ssili126/tv/main/itvlist.m3u
CCTV-1,https://raw.githubusercontent.com/Guovin/TV/gd/output/result.txt
CCTV-1,https://live.zbds.top/tv/iptv6.m3u
CCTV-1,https://raw.githubusercontent.com/Melianservant/Custom-IPTV/main/Selected_Channels.m3u
CCTV-1,http://69.30.245.50/live/cctv1.m3u8
CCTV-2,https://raw.githubusercontent.com/ssili126/tv/main/itvlist.m3u
CCTV-2,https://raw.githubusercontent.com/Guovin/TV/gd/output/result.txt
CCTV-2,https://live.zbds.top/tv/iptv6.m3u
CCTV-2,https://raw.githubusercontent.com/Melianservant/Custom-IPTV/main/Selected_Channels.m3u
CCTV-3,https://raw.githubusercontent.com/ssili126/tv/main/itvlist.m3u
CCTV-3,https://raw.githubusercontent.com/Guovin/TV/gd/output/result.txt
CCTV-3,https://live.zbds.top/tv/iptv6.m3u
CCTV-3,https://raw.githubusercontent.com/Melianservant/Custom-IPTV/main/Selected_Channels.m3u
CCTV-4,https://raw.githubusercontent.com/ssili126/tv/main/itvlist.m3u
CCTV-4,https://raw.githubusercontent.com/Guovin/TV/gd/output/result.txt
CCTV-4,https://live.zbds.top/tv/iptv6.m3u
CCTV-4,https://raw.githubusercontent.com/Melianservant/Custom-IPTV/main/Selected_Channels.m3u
CCTV-4,https://global.cgtn.cicc.media.caton.cloud/master/cgtn-america.m3u8
CCTV-5,https://raw.githubusercontent.com/ssili126/tv/main/itvlist.m3u
CCTV-5,https://raw.githubusercontent.com/Guovin/TV/gd/output/result.txt
CCTV-5,https://live.zbds.top/tv/iptv6.m3u
CCTV-5,https://raw.githubusercontent.com/Melianservant/Custom-IPTV/main/Selected_Channels.m3u
CCTV-5+,https://raw.githubusercontent.com/ssili126/tv/main/itvlist.m3u
CCTV-5+,https://raw.githubusercontent.com/Guovin/TV/gd/output/result.txt
CCTV-5+,https://live.zbds.top/tv/iptv6.m3u
CCTV-5+,https://raw.githubusercontent.com/Melianservant/Custom-IPTV/main/Selected_Channels.m3u
CCTV-6,https://raw.githubusercontent.com/ssili126/tv/main/itvlist.m3u
CCTV-6,https://raw.githubusercontent.com/Guovin/TV/gd/output/result.txt
CCTV-6,https://live.zbds.top/tv/iptv6.m3u
CCTV-6,https://raw.githubusercontent.com/Melianservant/Custom-IPTV/main/Selected_Channels.m3u
CCTV-7,https://raw.githubusercontent.com/ssili126/tv/main/itvlist.m3u
CCTV-7,https://raw.githubusercontent.com/Guovin/TV/gd/output/result.txt
CCTV-7,https://live.zbds.top/tv/iptv6.m3u
CCTV-7,https://raw.githubusercontent.com/Melianservant/Custom-IPTV/main/Selected_Channels.m3u
CCTV-8,https://raw.githubusercontent.com/ssili126/tv/main/itvlist.m3u
CCTV-8,https://raw.githubusercontent.com/Guovin/TV/gd/output/result.txt
CCTV-8,https://live.zbds.top/tv/iptv6.m3u
CCTV-8,https://raw.githubusercontent.com/Melianservant/Custom-IPTV/main/Selected_Channels.m3u
CCTV-9,https://raw.githubusercontent.com/ssili126/tv/main/itvlist.m3u
